Extension,Category,Description,HexSignature,Offset,RiskLevel
crt,Security,X.509 Certificate,30 82,0,Low
ttf,Font,TrueType Font File,00 01 00 00 00,0,Low
otf,Font,OpenType Font File,4F 54 54 4F,0,Low
woff,Font,Web Open Font Format,77 4F 46 46,0,Low
woff2,Font,Web Open Font Format 2,77 4F 46 32,0,Low
lnk,System,Windows Shortcut File,4C 00 00 00 01 14 02 00,0,High
reg,System,Windows Registry File,57 69 6E 64 6F 77 73 20 52 65 67 69 73 74 72 79,0,High
vhd,Disk Image,Virtual Hard Disk File,63 6F 6E 65 63 74 69 69 78,0,Medium
vmdk,Disk Image,VMware Virtual Disk File,4B 44 4D 55,0,Medium
ext_1,Image,Custom Enterprise Extended Type Variation Signature Profile 1,07 14 21 2E 3B,0,Medium
ext_2,Audio,Custom Enterprise Extended Type Variation Signature Profile 2,0E 1B 28 35 42 4F,0,High
ext_3,Video,Custom Enterprise Extended Type Variation Signature Profile 3,15 22 2F 3C 49 56 63,0,Low
ext_4,Document,Custom Enterprise Extended Type Variation Signature Profile 4,1C 29 36 43 50 5D 6A 77,0,Medium
ext_5,Archive,Custom Enterprise Extended Type Variation Signature Profile 5,23 30 3D 4A,257,High
ext_6,System,Custom Enterprise Extended Type Variation Signature Profile 6,2A 37 44 51 5E,0,Low
ext_7,Database,Custom Enterprise Extended Type Variation Signature Profile 7,31 3E 4B 58 65 72,0,Medium
ext_8,Network,Custom Enterprise Extended Type Variation Signature Profile 8,38 45 52 5F 6C 79 86,0,High
ext_9,Font,Custom Enterprise Extended Type Variation Signature Profile 9,3F 4C 59 66 73 80 8D 9A,0,Low
ext_10,Security,Custom Enterprise Extended Type Variation Signature Profile 10,46 53 60 6D,0,Medium
ext_11,Script,Custom Enterprise Extended Type Variation Signature Profile 11,4D 5A 67 74 81,0,High
ext_12,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 12,54 61 6E 7B 88 95,0,Low
ext_13,Web,Custom Enterprise Extended Type Variation Signature Profile 13,5B 68 75 82 8F 9C A9,0,Medium
ext_14,Data,Custom Enterprise Extended Type Variation Signature Profile 14,62 6F 7C 89 96 A3 B0 BD,0,High
ext_15,Executable,Custom Enterprise Extended Type Variation Signature Profile 15,69 76 83 90,0,Low
ext_16,Image,Custom Enterprise Extended Type Variation Signature Profile 16,70 7D 8A 97 A4,0,Medium
ext_17,Audio,Custom Enterprise Extended Type Variation Signature Profile 17,77 84 91 9E AB B8,0,High
ext_18,Video,Custom Enterprise Extended Type Variation Signature Profile 18,7E 8B 98 A5 B2 BF CC,0,Low
ext_19,Document,Custom Enterprise Extended Type Variation Signature Profile 19,85 92 9F AC B9 C6 D3 E0,0,Medium
ext_20,Archive,Custom Enterprise Extended Type Variation Signature Profile 20,8C 99 A6 B3,257,High
ext_21,System,Custom Enterprise Extended Type Variation Signature Profile 21,93 A0 AD BA C7,0,Low
ext_22,Database,Custom Enterprise Extended Type Variation Signature Profile 22,9A A7 B4 C1 CE DB,0,Medium
ext_23,Network,Custom Enterprise Extended Type Variation Signature Profile 23,A1 AE BB C8 D5 E2 EF,0,High
ext_24,Font,Custom Enterprise Extended Type Variation Signature Profile 24,A8 B5 C2 CF DC E9 F6 03,0,Low
ext_25,Security,Custom Enterprise Extended Type Variation Signature Profile 25,AF BC C9 D6,0,Medium
ext_26,Script,Custom Enterprise Extended Type Variation Signature Profile 26,B6 C3 D0 DD EA,0,High
ext_27,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 27,BD CA D7 E4 F1 FE,0,Low
ext_28,Web,Custom Enterprise Extended Type Variation Signature Profile 28,C4 D1 DE EB F8 05 12,0,Medium
ext_29,Data,Custom Enterprise Extended Type Variation Signature Profile 29,CB D8 E5 F2 FF 0C 19 26,0,High
ext_30,Executable,Custom Enterprise Extended Type Variation Signature Profile 30,D2 DF EC F9,0,Low
ext_31,Image,Custom Enterprise Extended Type Variation Signature Profile 31,D9 E6 F3 00 0D,0,Medium
ext_32,Audio,Custom Enterprise Extended Type Variation Signature Profile 32,E0 ED FA 07 14 21,0,High
ext_33,Video,Custom Enterprise Extended Type Variation Signature Profile 33,E7 F4 01 0E 1B 28 35,0,Low
ext_34,Document,Custom Enterprise Extended Type Variation Signature Profile 34,EE FB 08 15 22 2F 3C 49,0,Medium
ext_35,Archive,Custom Enterprise Extended Type Variation Signature Profile 35,F5 02 0F 1C,257,High
ext_36,System,Custom Enterprise Extended Type Variation Signature Profile 36,FC 09 16 23 30,0,Low
ext_37,Database,Custom Enterprise Extended Type Variation Signature Profile 37,03 10 1D 2A 37 44,0,Medium
ext_38,Network,Custom Enterprise Extended Type Variation Signature Profile 38,0A 17 24 31 3E 4B 58,0,High
ext_39,Font,Custom Enterprise Extended Type Variation Signature Profile 39,11 1E 2B 38 45 52 5F 6C,0,Low
ext_40,Security,Custom Enterprise Extended Type Variation Signature Profile 40,18 25 32 3F,0,Medium
ext_41,Script,Custom Enterprise Extended Type Variation Signature Profile 41,1F 2C 39 46 53,0,High
ext_42,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 42,26 33 40 4D 5A 67,32769,Low
ext_43,Web,Custom Enterprise Extended Type Variation Signature Profile 43,2D 3A 47 54 61 6E 7B,0,Medium
ext_44,Data,Custom Enterprise Extended Type Variation Signature Profile 44,34 41 4E 5B 68 75 82 8F,0,High
ext_45,Executable,Custom Enterprise Extended Type Variation Signature Profile 45,3B 48 55 62,0,Low
ext_46,Image,Custom Enterprise Extended Type Variation Signature Profile 46,42 4F 5C 69 76,0,Medium
ext_47,Audio,Custom Enterprise Extended Type Variation Signature Profile 47,49 56 63 70 7D 8A,0,High
ext_48,Video,Custom Enterprise Extended Type Variation Signature Profile 48,50 5D 6A 77 84 91 9E,0,Low
ext_49,Document,Custom Enterprise Extended Type Variation Signature Profile 49,57 64 71 7E 8B 98 A5 B2,0,Medium
ext_50,Archive,Custom Enterprise Extended Type Variation Signature Profile 50,5E 6B 78 85,257,High
ext_51,System,Custom Enterprise Extended Type Variation Signature Profile 51,65 72 7F 8C 99,0,Low
ext_52,Database,Custom Enterprise Extended Type Variation Signature Profile 52,6C 79 86 93 A0 AD,0,Medium
ext_53,Network,Custom Enterprise Extended Type Variation Signature Profile 53,73 80 8D 9A A7 B4 C1,0,High
ext_54,Font,Custom Enterprise Extended Type Variation Signature Profile 54,7A 87 94 A1 AE BB C8 D5,0,Low
ext_55,Security,Custom Enterprise Extended Type Variation Signature Profile 55,81 8E 9B A8,0,Medium
ext_56,Script,Custom Enterprise Extended Type Variation Signature Profile 56,88 95 A2 AF BC,0,High
ext_57,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 57,8F 9C A9 B6 C3 D0,0,Low
ext_58,Web,Custom Enterprise Extended Type Variation Signature Profile 58,96 A3 B0 BD CA D7 E4,0,Medium
ext_59,Data,Custom Enterprise Extended Type Variation Signature Profile 59,9D AA B7 C4 D1 DE EB F8,0,High
ext_60,Executable,Custom Enterprise Extended Type Variation Signature Profile 60,A4 B1 BE CB,0,Low
ext_61,Image,Custom Enterprise Extended Type Variation Signature Profile 61,AB B8 C5 D2 DF,0,Medium
ext_62,Audio,Custom Enterprise Extended Type Variation Signature Profile 62,B2 BF CC D9 E6 F3,0,High
ext_63,Video,Custom Enterprise Extended Type Variation Signature Profile 63,B9 C6 D3 E0 ED FA 07,0,Low
ext_64,Document,Custom Enterprise Extended Type Variation Signature Profile 64,C0 CD DA E7 F4 01 0E 1B,0,Medium
ext_65,Archive,Custom Enterprise Extended Type Variation Signature Profile 65,C7 D4 E1 EE,257,High
ext_66,System,Custom Enterprise Extended Type Variation Signature Profile 66,CE DB E8 F5 02,0,Low
ext_67,Database,Custom Enterprise Extended Type Variation Signature Profile 67,D5 E2 EF FC 09 16,0,Medium
ext_68,Network,Custom Enterprise Extended Type Variation Signature Profile 68,DC E9 F6 03 10 1D 2A,0,High
ext_69,Font,Custom Enterprise Extended Type Variation Signature Profile 69,E3 F0 FD 0A 17 24 31 3E,0,Low
ext_70,Security,Custom Enterprise Extended Type Variation Signature Profile 70,EA F7 04 11,0,Medium
ext_71,Script,Custom Enterprise Extended Type Variation Signature Profile 71,F1 FE 0B 18 25,0,High
ext_72,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 72,F8 05 12 1F 2C 39,0,Low
ext_73,Web,Custom Enterprise Extended Type Variation Signature Profile 73,FF 0C 19 26 33 40 4D,0,Medium
ext_74,Data,Custom Enterprise Extended Type Variation Signature Profile 74,06 13 20 2D 3A 47 54 61,0,High
ext_75,Executable,Custom Enterprise Extended Type Variation Signature Profile 75,0D 1A 27 34,0,Low
ext_76,Image,Custom Enterprise Extended Type Variation Signature Profile 76,14 21 2E 3B 48,0,Medium
ext_77,Audio,Custom Enterprise Extended Type Variation Signature Profile 77,1B 28 35 42 4F 5C,0,High
ext_78,Video,Custom Enterprise Extended Type Variation Signature Profile 78,22 2F 3C 49 56 63 70,0,Low
ext_79,Document,Custom Enterprise Extended Type Variation Signature Profile 79,29 36 43 50 5D 6A 77 84,0,Medium
ext_80,Archive,Custom Enterprise Extended Type Variation Signature Profile 80,30 3D 4A 57,257,High
ext_81,System,Custom Enterprise Extended Type Variation Signature Profile 81,37 44 51 5E 6B,0,Low
ext_82,Database,Custom Enterprise Extended Type Variation Signature Profile 82,3E 4B 58 65 72 7F,0,Medium
ext_83,Network,Custom Enterprise Extended Type Variation Signature Profile 83,45 52 5F 6C 79 86 93,0,High
ext_84,Font,Custom Enterprise Extended Type Variation Signature Profile 84,4C 59 66 73 80 8D 9A A7,0,Low
ext_85,Security,Custom Enterprise Extended Type Variation Signature Profile 85,53 60 6D 7A,0,Medium
ext_86,Script,Custom Enterprise Extended Type Variation Signature Profile 86,5A 67 74 81 8E,0,High
ext_87,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 87,61 6E 7B 88 95 A2,0,Low
ext_88,Web,Custom Enterprise Extended Type Variation Signature Profile 88,68 75 82 8F 9C A9 B6,0,Medium
ext_89,Data,Custom Enterprise Extended Type Variation Signature Profile 89,6F 7C 89 96 A3 B0 BD CA,0,High
ext_90,Executable,Custom Enterprise Extended Type Variation Signature Profile 90,76 83 90 9D,0,Low
ext_91,Image,Custom Enterprise Extended Type Variation Signature Profile 91,7D 8A 97 A4 B1,0,Medium
ext_92,Audio,Custom Enterprise Extended Type Variation Signature Profile 92,84 91 9E AB B8 C5,0,High
ext_93,Video,Custom Enterprise Extended Type Variation Signature Profile 93,8B 98 A5 B2 BF CC D9,0,Low
ext_94,Document,Custom Enterprise Extended Type Variation Signature Profile 94,92 9F AC B9 C6 D3 E0 ED,0,Medium
ext_95,Archive,Custom Enterprise Extended Type Variation Signature Profile 95,99 A6 B3 C0,257,High
ext_96,System,Custom Enterprise Extended Type Variation Signature Profile 96,A0 AD BA C7 D4,0,Low
ext_97,Database,Custom Enterprise Extended Type Variation Signature Profile 97,A7 B4 C1 CE DB E8,0,Medium
ext_98,Network,Custom Enterprise Extended Type Variation Signature Profile 98,AE BB C8 D5 E2 EF FC,0,High
ext_99,Font,Custom Enterprise Extended Type Variation Signature Profile 99,B5 C2 CF DC E9 F6 03 10,0,Low
ext_100,Security,Custom Enterprise Extended Type Variation Signature Profile 100,BC C9 D6 E3,0,Medium
ext_101,Script,Custom Enterprise Extended Type Variation Signature Profile 101,C3 D0 DD EA F7,0,High
ext_102,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 102,CA D7 E4 F1 FE 0B,0,Low
ext_103,Web,Custom Enterprise Extended Type Variation Signature Profile 103,D1 DE EB F8 05 12 1F,0,Medium
ext_104,Data,Custom Enterprise Extended Type Variation Signature Profile 104,D8 E5 F2 FF 0C 19 26 33,0,High
ext_105,Executable,Custom Enterprise Extended Type Variation Signature Profile 105,DF EC F9 06,0,Low
ext_106,Image,Custom Enterprise Extended Type Variation Signature Profile 106,E6 F3 00 0D 1A,0,Medium
ext_107,Audio,Custom Enterprise Extended Type Variation Signature Profile 107,ED FA 07 14 21 2E,0,High
ext_108,Video,Custom Enterprise Extended Type Variation Signature Profile 108,F4 01 0E 1B 28 35 42,0,Low
ext_109,Document,Custom Enterprise Extended Type Variation Signature Profile 109,FB 08 15 22 2F 3C 49 56,0,Medium
ext_110,Archive,Custom Enterprise Extended Type Variation Signature Profile 110,02 0F 1C 29,257,High
ext_111,System,Custom Enterprise Extended Type Variation Signature Profile 111,09 16 23 30 3D,0,Low
ext_112,Database,Custom Enterprise Extended Type Variation Signature Profile 112,10 1D 2A 37 44 51,0,Medium
ext_113,Network,Custom Enterprise Extended Type Variation Signature Profile 113,17 24 31 3E 4B 58 65,0,High
ext_114,Font,Custom Enterprise Extended Type Variation Signature Profile 114,1E 2B 38 45 52 5F 6C 79,0,Low
ext_115,Security,Custom Enterprise Extended Type Variation Signature Profile 115,25 32 3F 4C,0,Medium
ext_116,Script,Custom Enterprise Extended Type Variation Signature Profile 116,2C 39 46 53 60,0,High
ext_117,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 117,33 40 4D 5A 67 74,0,Low
ext_118,Web,Custom Enterprise Extended Type Variation Signature Profile 118,3A 47 54 61 6E 7B 88,0,Medium
ext_119,Data,Custom Enterprise Extended Type Variation Signature Profile 119,41 4E 5B 68 75 82 8F 9C,0,High
ext_120,Executable,Custom Enterprise Extended Type Variation Signature Profile 120,48 55 62 6F,0,Low
ext_121,Image,Custom Enterprise Extended Type Variation Signature Profile 121,4F 5C 69 76 83,0,Medium
ext_122,Audio,Custom Enterprise Extended Type Variation Signature Profile 122,56 63 70 7D 8A 97,0,High
ext_123,Video,Custom Enterprise Extended Type Variation Signature Profile 123,5D 6A 77 84 91 9E AB,0,Low
ext_124,Document,Custom Enterprise Extended Type Variation Signature Profile 124,64 71 7E 8B 98 A5 B2 BF,0,Medium
ext_125,Archive,Custom Enterprise Extended Type Variation Signature Profile 125,6B 78 85 92,257,High
ext_126,System,Custom Enterprise Extended Type Variation Signature Profile 126,72 7F 8C 99 A6,0,Low
ext_127,Database,Custom Enterprise Extended Type Variation Signature Profile 127,79 86 93 A0 AD BA,0,Medium
ext_128,Network,Custom Enterprise Extended Type Variation Signature Profile 128,80 8D 9A A7 B4 C1 CE,0,High
ext_129,Font,Custom Enterprise Extended Type Variation Signature Profile 129,87 94 A1 AE BB C8 D5 E2,0,Low
ext_130,Security,Custom Enterprise Extended Type Variation Signature Profile 130,8E 9B A8 B5,0,Medium
ext_131,Script,Custom Enterprise Extended Type Variation Signature Profile 131,95 A2 AF BC C9,0,High
ext_132,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 132,9C A9 B6 C3 D0 DD,0,Low
ext_133,Web,Custom Enterprise Extended Type Variation Signature Profile 133,A3 B0 BD CA D7 E4 F1,0,Medium
ext_134,Data,Custom Enterprise Extended Type Variation Signature Profile 134,AA B7 C4 D1 DE EB F8 05,0,High
ext_135,Executable,Custom Enterprise Extended Type Variation Signature Profile 135,B1 BE CB D8,0,Low
ext_136,Image,Custom Enterprise Extended Type Variation Signature Profile 136,B8 C5 D2 DF EC,0,Medium
ext_137,Audio,Custom Enterprise Extended Type Variation Signature Profile 137,BF CC D9 E6 F3 00,0,High
ext_138,Video,Custom Enterprise Extended Type Variation Signature Profile 138,C6 D3 E0 ED FA 07 14,0,Low
ext_139,Document,Custom Enterprise Extended Type Variation Signature Profile 139,CD DA E7 F4 01 0E 1B 28,0,Medium
ext_140,Archive,Custom Enterprise Extended Type Variation Signature Profile 140,D4 E1 EE FB,257,High
ext_141,System,Custom Enterprise Extended Type Variation Signature Profile 141,DB E8 F5 02 0F,0,Low
ext_142,Database,Custom Enterprise Extended Type Variation Signature Profile 142,E2 EF FC 09 16 23,0,Medium
ext_143,Network,Custom Enterprise Extended Type Variation Signature Profile 143,E9 F6 03 10 1D 2A 37,0,High
ext_144,Font,Custom Enterprise Extended Type Variation Signature Profile 144,F0 FD 0A 17 24 31 3E 4B,0,Low
ext_145,Security,Custom Enterprise Extended Type Variation Signature Profile 145,F7 04 11 1E,0,Medium
ext_146,Script,Custom Enterprise Extended Type Variation Signature Profile 146,FE 0B 18 25 32,0,High
ext_147,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 147,05 12 1F 2C 39 46,32769,Low
ext_148,Web,Custom Enterprise Extended Type Variation Signature Profile 148,0C 19 26 33 40 4D 5A,0,Medium
ext_149,Data,Custom Enterprise Extended Type Variation Signature Profile 149,13 20 2D 3A 47 54 61 6E,0,High
ext_150,Executable,Custom Enterprise Extended Type Variation Signature Profile 150,1A 27 34 41,0,Low
ext_151,Image,Custom Enterprise Extended Type Variation Signature Profile 151,21 2E 3B 48 55,0,Medium
ext_152,Audio,Custom Enterprise Extended Type Variation Signature Profile 152,28 35 42 4F 5C 69,0,High
ext_153,Video,Custom Enterprise Extended Type Variation Signature Profile 153,2F 3C 49 56 63 70 7D,0,Low
ext_154,Document,Custom Enterprise Extended Type Variation Signature Profile 154,36 43 50 5D 6A 77 84 91,0,Medium
ext_155,Archive,Custom Enterprise Extended Type Variation Signature Profile 155,3D 4A 57 64,257,High
ext_156,System,Custom Enterprise Extended Type Variation Signature Profile 156,44 51 5E 6B 78,0,Low
ext_157,Database,Custom Enterprise Extended Type Variation Signature Profile 157,4B 58 65 72 7F 8C,0,Medium
ext_158,Network,Custom Enterprise Extended Type Variation Signature Profile 158,52 5F 6C 79 86 93 A0,0,High
ext_159,Font,Custom Enterprise Extended Type Variation Signature Profile 159,59 66 73 80 8D 9A A7 B4,0,Low
ext_160,Security,Custom Enterprise Extended Type Variation Signature Profile 160,60 6D 7A 87,0,Medium
ext_161,Script,Custom Enterprise Extended Type Variation Signature Profile 161,67 74 81 8E 9B,0,High
ext_162,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 162,6E 7B 88 95 A2 AF,0,Low
ext_163,Web,Custom Enterprise Extended Type Variation Signature Profile 163,75 82 8F 9C A9 B6 C3,0,Medium
ext_164,Data,Custom Enterprise Extended Type Variation Signature Profile 164,7C 89 96 A3 B0 BD CA D7,0,High
ext_165,Executable,Custom Enterprise Extended Type Variation Signature Profile 165,83 90 9D AA,0,Low
ext_166,Image,Custom Enterprise Extended Type Variation Signature Profile 166,8A 97 A4 B1 BE,0,Medium
ext_167,Audio,Custom Enterprise Extended Type Variation Signature Profile 167,91 9E AB B8 C5 D2,0,High
ext_168,Video,Custom Enterprise Extended Type Variation Signature Profile 168,98 A5 B2 BF CC D9 E6,0,Low
ext_169,Document,Custom Enterprise Extended Type Variation Signature Profile 169,9F AC B9 C6 D3 E0 ED FA,0,Medium
ext_170,Archive,Custom Enterprise Extended Type Variation Signature Profile 170,A6 B3 C0 CD,257,High
ext_171,System,Custom Enterprise Extended Type Variation Signature Profile 171,AD BA C7 D4 E1,0,Low
ext_172,Database,Custom Enterprise Extended Type Variation Signature Profile 172,B4 C1 CE DB E8 F5,0,Medium
ext_173,Network,Custom Enterprise Extended Type Variation Signature Profile 173,BB C8 D5 E2 EF FC 09,0,High
ext_174,Font,Custom Enterprise Extended Type Variation Signature Profile 174,C2 CF DC E9 F6 03 10 1D,0,Low
ext_175,Security,Custom Enterprise Extended Type Variation Signature Profile 175,C9 D6 E3 F0,0,Medium
ext_176,Script,Custom Enterprise Extended Type Variation Signature Profile 176,D0 DD EA F7 04,0,High
ext_177,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 177,D7 E4 F1 FE 0B 18,0,Low
ext_178,Web,Custom Enterprise Extended Type Variation Signature Profile 178,DE EB F8 05 12 1F 2C,0,Medium
ext_179,Data,Custom Enterprise Extended Type Variation Signature Profile 179,E5 F2 FF 0C 19 26 33 40,0,High
ext_180,Executable,Custom Enterprise Extended Type Variation Signature Profile 180,EC F9 06 13,0,Low
ext_181,Image,Custom Enterprise Extended Type Variation Signature Profile 181,F3 00 0D 1A 27,0,Medium
ext_182,Audio,Custom Enterprise Extended Type Variation Signature Profile 182,FA 07 14 21 2E 3B,0,High
ext_183,Video,Custom Enterprise Extended Type Variation Signature Profile 183,01 0E 1B 28 35 42 4F,0,Low
ext_184,Document,Custom Enterprise Extended Type Variation Signature Profile 184,08 15 22 2F 3C 49 56 63,0,Medium
ext_185,Archive,Custom Enterprise Extended Type Variation Signature Profile 185,0F 1C 29 36,257,High
ext_186,System,Custom Enterprise Extended Type Variation Signature Profile 186,16 23 30 3D 4A,0,Low
ext_187,Database,Custom Enterprise Extended Type Variation Signature Profile 187,1D 2A 37 44 51 5E,0,Medium
ext_188,Network,Custom Enterprise Extended Type Variation Signature Profile 188,24 31 3E 4B 58 65 72,0,High
ext_189,Font,Custom Enterprise Extended Type Variation Signature Profile 189,2B 38 45 52 5F 6C 79 86,0,Low
ext_190,Security,Custom Enterprise Extended Type Variation Signature Profile 190,32 3F 4C 59,0,Medium
ext_191,Script,Custom Enterprise Extended Type Variation Signature Profile 191,39 46 53 60 6D,0,High
ext_192,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 192,40 4D 5A 67 74 81,0,Low
ext_193,Web,Custom Enterprise Extended Type Variation Signature Profile 193,47 54 61 6E 7B 88 95,0,Medium
ext_194,Data,Custom Enterprise Extended Type Variation Signature Profile 194,4E 5B 68 75 82 8F 9C A9,0,High
ext_195,Executable,Custom Enterprise Extended Type Variation Signature Profile 195,55 62 6F 7C,0,Low
ext_196,Image,Custom Enterprise Extended Type Variation Signature Profile 196,5C 69 76 83 90,0,Medium
ext_197,Audio,Custom Enterprise Extended Type Variation Signature Profile 197,63 70 7D 8A 97 A4,0,High
ext_198,Video,Custom Enterprise Extended Type Variation Signature Profile 198,6A 77 84 91 9E AB B8,0,Low
ext_199,Document,Custom Enterprise Extended Type Variation Signature Profile 199,71 7E 8B 98 A5 B2 BF CC,0,Medium
ext_200,Archive,Custom Enterprise Extended Type Variation Signature Profile 200,78 85 92 9F,257,High
ext_201,System,Custom Enterprise Extended Type Variation Signature Profile 201,7F 8C 99 A6 B3,0,Low
ext_202,Database,Custom Enterprise Extended Type Variation Signature Profile 202,86 93 A0 AD BA C7,0,Medium
ext_203,Network,Custom Enterprise Extended Type Variation Signature Profile 203,8D 9A A7 B4 C1 CE DB,0,High
ext_204,Font,Custom Enterprise Extended Type Variation Signature Profile 204,94 A1 AE BB C8 D5 E2 EF,0,Low
ext_205,Security,Custom Enterprise Extended Type Variation Signature Profile 205,9B A8 B5 C2,0,Medium
ext_206,Script,Custom Enterprise Extended Type Variation Signature Profile 206,A2 AF BC C9 D6,0,High
ext_207,Disk Image,Custom Enterprise Extended Type Variation Signature Profile 207,A9 B6 C3 D0 DD EA,0,Low
ext_208,Web,Custom Enterprise Extended Type Variation Signature Profile 208,B0 BD CA D7 E4 F1 FE,0,Medium
ext_209,Data,Custom Enterprise Extended Type Variation Signature Profile 209,B7 C4 D1 DE EB F8 05 12,0,High
ext_210,Executable,Custom Enterprise Extended Type Variation Signature Profile 210,BE CB D8 E5,0,Low
ext_211,Image,Custom Enterprise Extended Type Variation Signature Profile 211,C5 D2 DF EC F9,0,Medium
